Picture: 1-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				0.83				-12.67				13.5
2				0.31				1.49				-1.17
3				0.24				4.37				-4.13
4				0.0				0.85				-0.85
5				-0.24				2.87				-3.11
6				-0.28				0.53				-0.81
7				-0.29				1.07				-1.35
8				-0.34				1.93				-2.27
9				-0.33				-0.53				0.2
Picture: 10-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				5.91				-11.66				17.57
2				2.35				-0.73				3.08
3				-1.81				9.85				-11.65
4				-1.65				0.08				-1.73
5				-1.57				0.25				-1.83
6				-1.06				1.56				-2.62
7				-0.89				-1.06				0.17
8				-0.74				0.24				-0.98
9				-0.63				1.37				-2.01
Picture: 11-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				6.21				-13.62				19.83
2				-0.23				-2.6				2.37
3				-1.0				6.69				-7.69
4				-1.1				5.28				-6.38
5				-0.99				-0.09				-0.9
6				-0.94				1.61				-2.55
7				-0.78				1.98				-2.77
8				-0.68				1.01				-1.69
9				-0.59				-0.36				-0.22
Picture: 12-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				4.12				-8.74				12.86
2				-2.43				0.92				-3.35
3				-1.27				2.78				-4.05
4				-0.61				0.88				-1.48
5				-0.25				1.82				-2.08
6				-0.02				0.28				-0.3
7				0.06				-0.15				0.21
8				0.12				2.24				-2.12
9				0.2				-0.11				0.31
Picture: 13-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				22.98				5.65				17.33
2				-6.06				-0.53				-5.53
3				-4.83				1.59				-6.43
4				-3.61				-1.19				-2.42
5				-2.62				-1.65				-0.96
6				-1.96				-1.16				-0.79
7				-1.6				-1.61				0.01
8				-1.3				-0.28				-1.01
9				-1.11				-0.91				-0.2
Picture: 14-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				1.34				-14.97				16.31
2				-0.11				3.5				-3.61
3				-0.07				3.98				-4.04
4				-0.1				0.36				-0.46
5				-0.12				4.57				-4.69
6				-0.22				-0.23				0.01
7				-0.23				-0.46				0.23
8				-0.28				3.83				-4.11
9				-0.3				-0.67				0.37
Picture: 15-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-3.56				-13.22				9.66
2				7.95				0.26				7.69
3				0.59				6.97				-6.38
4				-0.95				0.88				-1.82
5				-1.11				3.35				-4.46
6				-0.92				-0.5				-0.42
7				-0.82				0.02				-0.85
8				-0.71				1.15				-1.85
9				-0.57				1.0				-1.57
Picture: 16-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-19.18				-25.58				6.4
2				7.54				10.74				-3.2
3				7.71				8.57				-0.86
